track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,decade,mood
Desert Rose,Eric Johnson,spotify:track:5s74rkA87hFH1iTzBngcFY,0.52,0.637,5,-12.319,0,0.0276,0.0386,5.55e-06,0.078,0.787,92.015,297560,4,34.91248,14,1990s,happy
Rick Kick Shaw,Cecil Taylor,spotify:track:2vKcLE7UMFJ0n7FpPkrvjN,0.402,0.412,2,-16.834,1,0.0528,0.696,0.305,0.104,0.466,135.964,365867,4,57.29605,16,1990s,happy
I'm Already Taken,Steve Wariner,spotify:track:6SeIgkwEboWc9m11n36WWE,0.377,0.194,7,-12.026,1,0.0316,0.861,5.01e-06,0.124,0.528,130.563,199707,4,41.48902,9,1990s,sad
Nowhere To Go,Melissa Etheridge,spotify:track:035Wi3SCHzijMtWdhVv5K8,0.51,0.421,4,-11.24,1,0.0268,0.173,1.64e-05,0.187,0.215,102.577,353040,4,29.31219,14,1990s,happy
Father Of Mine,Everclear,spotify:track:2hx4ptqsE8dboLH3NCLmaN,0.568,0.94,1,-5.401,1,0.0411,0.000431,4.96e-05,0.0779,0.738,97.096,231400,4,30.38029,12,1990s,happy
Cosmic Raindance,Cybotron,spotify:track:1WSge3M3HI30pk8hY3KVAX,0.565,0.861,7,-12.734,1,0.0377,0.00185,0.766,0.524,0.925,143.345,240267,4,34.63142,11,1990s,happy
As Long As It Matters,Gin Blossoms,spotify:track:4LR75dqM5Y1SUVzxxvnnt1,0.395,0.727,7,-7.58,1,0.0294,0.0157,0.000871,0.122,0.649,180.789,271840,4,24.77232,15,1990s,surprise
Tous Les Garcons Et Les Filles,Françoise Hardy,spotify:track:5sStO6h1gsurZXbrxVpg16,0.734,0.368,9,-11.548,1,0.032,0.631,0.0793,0.16,0.88,107.615,186467,3,38.33692,9,1990s,happy
I Love You Period,Dan Baird,spotify:track:08FaxmURVgqiY9HDlW1wrh,0.543,0.873,9,-8.951,1,0.0324,0.0194,0.000372,0.324,0.945,114.195,264000,4,66.96952,8,1990s,happy
Bring Down the Birds - Funk Cover,Funkallisto,spotify:track:6pYcNfZnTI8NQuEaDZzksx,0.754,0.563,8,-9.453,1,0.0559,0.168,0.0176,0.0655,0.928,146.029,298653,4,22.45831,11,1990s,happy
Hook,Blues Traveler,spotify:track:27IRo2rYeizhRMDaNVplNM,0.562,0.742,9,-6.355,1,0.0346,0.0369,1.47e-06,0.102,0.793,165.6,289200,4,92.14822,11,1990s,happy
Closer,Nine Inch Nails,spotify:track:2oDqmfa2g8W893LlwJG1qu,0.547,0.714,10,-8.628,0,0.044,0.000242,0.636,0.122,0.541,89.996,373000,4,42.80081,12,1990s,surprise
Johnny Was A Punk,Random KIlling,spotify:track:0SXno6uTKfFcdLEevRDZEP,0.372,0.909,11,-9.059,1,0.0863,0.000354,0.00198,0.118,0.841,99.53,167491,4,52.39199,6,1990s,happy
Hip Hop Hooray,Naughty By Nature,spotify:track:1w29UTa5uUvIri2tWtZ12Y,0.862,0.642,6,-13.652,0,0.101,0.102,0.0,0.272,0.765,99.201,267267,4,48.90655,8,1990s,happy
Sax & organ,Scott Grooves,spotify:track:66CkFlbwnZYukcwpsqVBjn,0.765,0.66,1,-15.783,1,0.0664,0.00246,0.914,0.109,0.464,125.01,661800,4,33.11868,19,1990s,happy
Zapatos De Ante Azul,Los Camisas Negras,spotify:track:2nlbGpla9PhFt65maIGI07,0.515,0.877,7,-2.971,1,0.0492,0.769,1.82e-06,0.0937,0.764,93.678,107973,4,36.95836,7,1990s,happy
Prelude In C Sharp Minor Op 3,Eddie Lang,spotify:track:1O1EZPCCqhAd1SWDb7SaHT,0.642,0.17,9,-16.867,0,0.0631,0.91,0.91,0.201,0.339,104.709,187733,4,23.06883,8,1990s,sad
Alex & Ken Stage -JAZZY NYC '99-,Capcom Sound Team,spotify:track:6WdFcnGJNgLOeL4RBCU95l,0.555,0.886,11,-9.684,0,0.0435,2.76e-06,0.613,0.0727,0.526,120.213,194960,4,28.39098,10,1990s,surprise
Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,spotify:track:4INDiWSKvqSKDEu7mh8HFz,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,257400,4,35.27803,10,1990s,happy
Don't Stop The Music,Playa,spotify:track:3d4euhK4FGQsDataAlslVs,0.742,0.756,7,-2.743,1,0.0967,0.0255,0.000123,0.0333,0.791,77.008,193560,4,72.51858,7,1990s,happy
El Loco,La Castañeda,spotify:track:5y1Oro1appc8YWwgCsPXGx,0.36,0.714,4,-9.426,0,0.0542,0.821,0.0314,0.101,0.324,92.553,218867,4,52.42561,9,1990s,sad
That's All Right Julie,Ella Jenkins,spotify:track:1ZdO5XbHwTEdt72INr9NzP,0.649,0.0513,2,-17.101,1,0.308,0.905,0.0,0.352,0.745,75.682,48093,3,0.0,2,1990s,happy
Secret,Madonna,spotify:track:15FcP9qwmIKqaD5NhfhNpu,0.813,0.655,1,-7.884,1,0.0262,0.101,6.65e-05,0.146,0.46,99.982,304933,4,27.74914,13,1990s,happy
She's Got That Vibe,R. Kelly & Public Announcement,spotify:track:3YqH26H4kyG3usFtOc8v4P,0.801,0.693,1,-10.239,1,0.073,0.0504,0.0,0.168,0.742,113.137,274133,4,20.9245,10,1990s,happy
What Do You See,Cause & Effect,spotify:track:6HeEIgsH8qKxDT5z7TfCTe,0.601,0.937,2,-7.308,1,0.0509,0.000816,0.673,0.0805,0.837,124.013,265840,4,38.66055,12,1990s,happy
How Can We Be Lovers,Michael Bolton,spotify:track:0ZUjPkZKjzRi6bgIuJovfY,0.399,0.708,0,-10.541,0,0.0387,0.118,0.0,0.179,0.688,207.424,235627,4,29.4765,13,1990s,surprise
The Swalk,Notorious,spotify:track:13Zm0LWvvGrwWUfjlHl2D5,0.657,0.845,2,-7.883,1,0.0709,0.234,7.85e-06,0.358,0.659,115.571,230933,4,51.46489,10,1990s,surprise
Timbalero,El Gran Combo De Puerto Rico,spotify:track:5yCyZOProauCiVBPn7etCJ,0.608,0.825,5,-6.847,0,0.0535,0.721,0.00316,0.0871,0.97,114.982,266373,4,36.35633,10,1990s,happy
You Don't Have to Go Home,The Osborne Brothers,spotify:track:2FIiFEEBoHvhxXemF3vPME,0.664,0.169,4,-14.039,1,0.0382,0.803,0.0,0.0957,0.399,80.251,185933,3,26.58607,10,1990s,happy
Chainsaw Dismemberment,Mortician,spotify:track:76rl8bu092FOT8xrT5fJVU,0.439,0.604,0,-12.649,1,0.128,0.00204,0.00254,0.511,0.416,125.229,159267,4,74.91336,7,1990s,happy
"Tchaikovsky: 18 Pieces, Op. 72: XIV. Chanson élégiaque",Pyotr Ilyich Tchaikovsky,spotify:track:2lKNLDRoyceCyYW2F3DqzG,0.192,0.00597,1,-32.604,1,0.0429,0.993,0.908,0.0973,0.0366,65.821,467893,3,23.57099,25,1990s,sad
Don't Cry,Guns N' Roses,spotify:track:2N2yrmodOnVF10mKvItC9P,0.456,0.59,11,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733,4,76.56084,10,1990s,fear
It's The Things You Do,Five,spotify:track:4lWCP7IA9dQJGbOdKbVx61,0.768,0.871,8,-4.255,0,0.0393,0.0792,0.0,0.325,0.961,94.02,208960,4,31.64881,10,1990s,happy
Lonesome Bedroom Blues,William Clarke,spotify:track:6a2GFiWodKXdHDFPcaCRdL,0.384,0.455,7,-13.386,0,0.0312,0.29,0.00241,0.116,0.481,179.803,345667,3,31.71744,15,1990s,surprise
Apocalyptic Terror,All Out War,spotify:track:1bwBMOfYGI3QY0ks2yp5ex,0.312,0.589,2,-7.867,1,0.0964,4.23e-05,0.0886,0.109,0.247,104.949,557480,4,149.20457,11,1990s,fear
BABY BLUE,Fishmans,spotify:track:2Eot25c6UOeLc4jcN3fEQF,0.785,0.486,0,-10.5,1,0.065,0.144,0.498,0.158,0.79,90.989,369267,4,46.31511,16,1990s,happy
Soft Lights and Music,Gordon Rees,spotify:track:1CKHqyKRgUgKkk6KY1Wklp,0.66,0.261,9,-13.844,0,0.0411,0.349,0.000455,0.139,0.672,131.156,140493,4,30.55635,10,1990s,sad
Kinky Love,Pale Saints,spotify:track:3Uz3K1Ctq6MOIDqRddKHXo,0.376,0.277,1,-18.291,1,0.0357,0.133,0.0,0.0643,0.309,178.814,244240,4,47.49646,11,1990s,sad
I Got 5 On It,Luniz,spotify:track:4IYKjN1DrYzxKXt0umJqsG,0.6,0.706,10,-7.899,0,0.361,0.209,0.0,0.125,0.58,173.926,253533,4,21.11525,13,1990s,surprise
Dawn At The Great Pyramid,London Philharmonic Orchestra,spotify:track:6erSw3mStrD40dNCWuQFuH,0.146,0.208,0,-25.372,0,0.0426,0.00433,0.895,0.531,0.0461,77.323,213507,4,44.98505,7,1990s,sad
Rain,SWV,spotify:track:4G1qRhOk1YY0kewtMaCrMC,0.643,0.486,4,-10.443,0,0.0278,0.337,3.86e-06,0.702,0.146,138.151,264507,3,66.59797,7,1990s,sad
How Much Is Enough,The Fixx,spotify:track:7vuN1z8YZjzu00F8sQkzUG,0.627,0.918,0,-8.268,1,0.0585,0.119,2.19e-06,0.173,0.655,110.929,230560,4,32.96662,10,1990s,surprise
Letterman,Grapefruit,spotify:track:09JIRdAUXXhSVqnHtTdK8I,0.279,0.473,4,-19.726,1,0.0474,1.8e-05,0.898,0.115,0.961,166.603,101480,4,66.68344,4,1990s,happy
Feel So High,Des'ree,spotify:track:2HWyXrAd2voTlSFVVqFAVi,0.606,0.532,5,-10.426,1,0.0657,0.632,0.0,0.164,0.433,161.085,233267,4,38.5775,9,1990s,surprise
Toda la Mitad,Alejandra Guzman,spotify:track:7AyIeUzTZEVjdcqyYxPClE,0.68,0.92,7,-4.564,1,0.0352,0.0401,0.0,0.235,0.93,108.267,226133,4,55.72201,9,1990s,happy
Bop En Vogue,Howard McGhee,spotify:track:2QBVtTczFA5YLg8u1Gecwn,0.435,0.474,0,-11.659,0,0.0591,0.876,0.0433,0.0924,0.772,180.727,182067,4,20.38273,11,1990s,happy
Angelia,Richard Marx,spotify:track:2cG2bZy32qIxWVbFrobSQ1,0.54,0.64,8,-8.557,1,0.0251,0.114,0.000685,0.245,0.523,97.033,317933,4,41.03667,12,1990s,happy
Made Up My Mind,SaFire,spotify:track:14evcB9pIStazKsge52O8o,0.698,0.804,3,-10.383,0,0.0646,0.173,0.00581,0.649,0.745,118.708,287800,4,17.92581,14,1990s,happy
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,spotify:track:264JdkdtNRAGL4M4PnDYHC,0.3,0.225,4,-11.079,1,0.0264,0.915,0.0,0.159,0.294,87.698,168627,4,33.39294,8,1990s,sad
Live And Learn,Joe Public,spotify:track:4ScNzmyZZId9kGK9iXuqjn,0.745,0.891,11,-9.464,0,0.0746,0.0867,0.0,0.124,0.654,106.641,262333,4,28.22755,13,1990s,surprise
Rock Island Line,Lonnie Donegan & His Skiffle Group,spotify:track:0qKAsoFdIb09y8irqj6gn6,0.517,0.666,2,-9.46,1,0.116,0.609,0.0,0.16,0.788,111.683,202533,4,29.90181,12,1990s,happy
Cofio Dy Wyneb,Mynediad Am Ddim,spotify:track:1IddCKCyag3DKTmMGd3Vfx,0.603,0.34,7,-13.143,1,0.0452,0.468,0.0,0.0888,0.309,87.883,196600,4,26.48598,10,1990s,happy
Sweet On U,Lo-Key?,spotify:track:48z9CEN9Cgdy1w22i8kbnH,0.723,0.699,1,-8.369,1,0.07,0.0505,0.0,0.136,0.66,90.206,380867,4,21.97928,13,1990s,happy
I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,spotify:track:4cLXNwNqXWT1CTR5Gyr7ei,0.743,0.89,11,-6.293,0,0.0891,0.244,0.000209,0.218,0.786,109.954,294627,4,38.24026,12,1990s,happy
Getting Away With It,Electronic,spotify:track:0YZ7Q5i99vt9OEF8AEEaBV,0.599,0.609,5,-12.164,1,0.0255,0.00147,0.000746,0.116,0.749,126.011,314600,4,41.68957,12,1990s,happy
Chica Alborotada,Los Gibson Boys,spotify:track:67hHOmm1Nrxw8ykjDpkc4U,0.474,0.86,0,-6.57,1,0.1,0.596,0.0,0.0957,0.763,176.084,116027,4,37.97712,6,1990s,happy
Love Me All Up,Stacy Earl,spotify:track:15FMH5RRKL16Iw337TwqLn,0.702,0.859,11,-10.922,1,0.0467,0.0468,0.0928,0.245,0.657,122.879,297360,4,24.72592,14,1990s,happy
Sonia's Song,Mickey Jupp,spotify:track:6g1wr8TOfmyv1kJVrj2Ory,0.718,0.225,0,-13.301,1,0.0295,0.808,0.000994,0.0962,0.245,98.079,228467,4,39.74971,11,1990s,happy
Luchini aka (This Is It),Camp Lo,spotify:track:20DcrlNK0NcRknbX4wcEO4,0.721,0.949,6,-5.685,1,0.278,0.0495,0.0,0.327,0.835,83.028,240093,4,24.73308,11,1990s,happy
Give Me One Reason,Tracy Chapman,spotify:track:4vDBJeeQCbhP9FaPPMsYkY,0.608,0.419,11,-10.016,1,0.0331,0.602,7.58e-06,0.108,0.602,100.22,268333,4,33.4204,12,1990s,happy
This Is Ponderous,2nu,spotify:track:0aSoxyXaiEGYioFxNzvzcz,0.848,0.48,9,-17.561,1,0.112,0.389,0.0327,0.259,0.607,114.316,217453,4,29.00411,8,1990s,happy
Se Eu Não Te Amasse Tanto Assim,Ivete Sangalo,spotify:track:7LxiQ3v6iEaejUgnBBphNS,0.586,0.138,2,-12.476,1,0.0297,0.863,1.52e-06,0.109,0.134,99.576,249440,4,44.04536,10,1990s,sad
Ping Pong,Stereolab,spotify:track:7b1ZwsYjW3FzTg5Ze8Vfs8,0.322,0.584,11,-11.248,1,0.0289,0.0571,4.59e-06,0.0885,0.776,165.447,182347,4,33.71813,10,1990s,happy
Shotgun Blues,Lightnin' Hopkins,spotify:track:4il8Ki3peNFcKUafJLhy0P,0.661,0.172,3,-15.791,0,0.0473,0.839,9.14e-06,0.0993,0.707,100.562,161200,4,39.58008,10,1990s,sad
High Enough,Damn Yankees,spotify:track:5t5rCnsgRBtcKqTB7SbD1Q,0.273,0.537,2,-9.612,1,0.0306,0.0241,0.0,0.0922,0.232,81.814,287320,4,41.24504,9,1990s,fear
Al Ritmo de la Lluvia,Johnny Dynamo,spotify:track:2OuojzM7CTpXIi30uKFPRN,0.646,0.368,4,-15.714,1,0.0409,0.0926,0.0,0.0598,0.749,124.724,146573,4,49.69081,7,1990s,happy
Like to Sing a Love Song,Angry Johnny and the Killbillies,spotify:track:3sNnSkTuJiaCqFsMHIo4KF,0.518,0.442,7,-12.959,1,0.0586,0.044,0.000176,0.21,0.48,118.022,261800,4,46.28705,16,1990s,happy
Blackbirds And Crows,The Nashville Bluegrass Band,spotify:track:3QAoDb7ETn757hQErVxuRk,0.506,0.227,5,-15.514,1,0.0403,0.816,7.12e-05,0.0991,0.765,179.334,175600,4,26.59814,9,1990s,happy
Tormentor,Skinny Puppy,spotify:track:5sTEkfUaGtGr74XTtRlJrv,0.613,0.932,7,-8.015,1,0.0622,0.00567,0.011,0.079,0.524,111.02,273333,4,35.35456,11,1990s,surprise
Do You Like This,Rome,spotify:track:5XpcWuM4N62zYnCRgyziAu,0.76,0.284,9,-12.244,0,0.0297,0.00424,7.84e-06,0.0737,0.108,107.963,292160,4,85.60671,10,1990s,sad
Love Child,Sweet Sensation,spotify:track:4CjgSHKDVHahi0oMSlA7Vh,0.611,0.849,10,-9.124,0,0.0511,0.00142,0.179,0.146,0.961,118.31,251600,4,26.04157,10,1990s,happy
Alguém Na Multidão,Golden Boys,spotify:track:0PwQyrc3WBDd8DxOkh0gXI,0.557,0.277,0,-15.085,1,0.0338,0.114,0.0,0.0628,0.703,131.507,161840,4,54.07492,6,1990s,happy
Messe pour le temps présent: 3. Jericho Jerk,Pierre Henry,spotify:track:7gHdP1BByk7Ss6LT7b9sNb,0.411,0.702,5,-12.802,0,0.0755,0.0113,0.498,0.116,0.631,119.614,152867,4,62.62921,5,1990s,surprise
Cumbia Hip-Hop,Chicos de Barrio,spotify:track:5HfKdymWykEkhvfFwuBQSa,0.801,0.603,2,-13.847,1,0.0589,0.0136,0.0051,0.314,0.94,116.548,196600,4,25.62104,9,1990s,happy
Autopoema,The Third And The Mortal,spotify:track:6h9OeovoMSyaXR0l4Jj7J9,0.352,0.505,4,-7.084,0,0.0299,0.567,0.0296,0.14,0.0665,109.197,280347,4,68.51767,12,1990s,sad
Can't Truss It,Public Enemy,spotify:track:5r5uZvXHbE4X6CdhnSATtX,0.802,0.872,11,-7.651,1,0.139,0.00196,0.0,0.132,0.607,101.664,321573,4,30.72992,12,1990s,happy
You Make Me Feel (Mighty Real),Jimmy Somerville,spotify:track:3lwNHGO5yJLNpHsMlvL9IF,0.62,0.905,10,-5.214,1,0.0277,0.0176,0.00097,0.331,0.801,134.986,235573,4,29.89609,13,1990s,happy
Washed Away,Tom Cochrane,spotify:track:3wR6OMYNmu93lR1BAJx1KK,0.653,0.509,5,-12.155,1,0.0336,0.459,0.0,0.044,0.758,88.058,320560,4,28.08731,12,1990s,happy
Forget Who We Are,Cap'n Jazz,spotify:track:1DFW9NVV4eDb1TL2JJZkq2,0.51,0.477,0,-10.1,1,0.0485,0.000239,0.0016,0.415,0.11,97.265,166227,4,81.93979,6,1990s,happy
Paciência,Lenine,spotify:track:6gBlkT2u5P7UyZUYH8WnKz,0.627,0.338,7,-10.327,1,0.0347,0.831,0.0118,0.101,0.124,108.634,284293,4,21.2318,16,1990s,sad
You Had Me From Hello,Kenny Chesney,spotify:track:3NJn7p1nrI3R8alivEMPwB,0.595,0.393,2,-9.909,1,0.0292,0.508,0.0,0.153,0.2,137.744,230827,4,26.46119,10,1990s,sad
Little League,Cap'n Jazz,spotify:track:1783hGvOoFRkxtW8QxjGWS,0.299,0.913,9,-7.645,1,0.0598,0.00158,0.00331,0.122,0.156,101.059,236560,3,35.38017,8,1990s,angry
Everything's Gonna Be Alright,Sweetbox,spotify:track:1ifq3DVpguU02W6Prh5T3u,0.643,0.584,2,-9.073,1,0.0462,0.253,0.0,0.089,0.589,84.983,194133,4,35.61446,10,1990s,happy
Cumbia India,Los Angeles Azules,spotify:track:4kzv1LotkLmv7sFC5Cj21f,0.509,0.49,5,-6.977,1,0.0486,0.112,0.259,0.106,0.968,180.965,183680,4,66.77267,5,1990s,happy
Long Live Death,Kickback,spotify:track:5krQQ2ro53qqcGDz7jY5OP,0.356,0.263,4,-15.103,0,0.0315,0.0357,0.845,0.0912,0.182,82.616,120067,3,42.21389,4,1990s,sad
Because I Love You (The Postman Song),Stevie B,spotify:track:5133Vr9T5jaSNBlqSQRJDx,0.506,0.321,1,-11.796,1,0.0289,0.74,1.21e-06,0.125,0.0724,128.391,300107,4,56.71352,13,1990s,sad
La Selección Nacional,Las manos de Filippi,spotify:track:7uBoL7VGqpHwUzAeO6sk6P,0.565,0.961,0,-3.788,1,0.103,0.00385,0.000133,0.289,0.526,112.256,289373,4,24.80036,18,1990s,angry
Moi je joue,Brigitte Bardot,spotify:track:7v3zsFlSU28kiv3sqRAPNl,0.634,0.73,9,-9.869,0,0.0471,0.425,0.0314,0.326,0.708,106.049,102667,4,43.00415,5,1990s,happy
Automobile Blues,Lightnin' Hopkins,spotify:track:5uZoPP9hn8G21vdOdHlKqn,0.547,0.177,4,-18.395,0,0.0452,0.813,1.99e-05,0.109,0.176,184.44,274267,3,38.13069,14,1990s,sad
The Cryptic Stench,Cannibal Corpse,spotify:track:27zu28YulIo7buGdzgN0bm,0.247,0.992,8,-7.766,0,0.0772,2.85e-05,0.799,0.0808,0.318,142.891,237093,4,54.9396,9,1990s,surprise
Mentirosa,Mellow Man Ace,spotify:track:3P6fS71hWhZvOnnxQojJ0Z,0.966,0.505,1,-14.762,1,0.111,0.0678,0.0,0.197,0.826,113.592,258533,4,26.36817,12,1990s,happy
Heal The World,Michael Jackson,spotify:track:7woW97CfcWaKtuC6W5BP2K,0.534,0.485,9,-8.045,1,0.0467,0.537,1.79e-06,0.104,0.102,80.923,384307,4,24.4321,15,1990s,fear
Forever More,Puff Johnson,spotify:track:3IKdFAeGF7BkRSHcaxnS1V,0.594,0.653,11,-6.397,1,0.0478,0.218,0.00149,0.0982,0.367,152.948,303427,4,39.05595,15,1990s,fear
Breakdown,Seduction,spotify:track:7dp9giMXEl62EC6MkXSEfm,0.784,0.896,1,-9.705,1,0.0682,0.311,0.0,0.317,0.744,106.835,301893,4,57.29732,12,1990s,happy
What You Give,Tesla,spotify:track:6XKLX2SOAdS0ZDQK2PbZKn,0.434,0.579,0,-8.603,1,0.0295,0.123,2.91e-05,0.0857,0.369,134.477,435227,4,28.2828,16,1990s,happy
Touch It,Monifah,spotify:track:3upCmUgdchN3u0vkedbC5S,0.863,0.476,8,-10.019,0,0.0932,0.0307,0.0515,0.0706,0.783,115.459,285827,4,39.29267,16,1990s,happy
You Lied To Me,Cathy Dennis,spotify:track:7zUXJzKqVdUKaMcgSB21nL,0.758,0.852,4,-9.768,0,0.0503,0.0549,0.151,0.0381,0.757,122.07,327040,4,28.39302,18,1990s,happy
Put In Me (Psalm 51) [Remastered 2017],Enter The Worship Circle,spotify:track:140SlU073pXlQZ4Db1xXD0,0.388,0.313,4,-12.846,1,0.0539,0.687,2.34e-05,0.0873,0.265,151.719,291000,4,48.67325,13,1990s,sad
Toss-Up,N2Deep,spotify:track:3Ur8GNH5ozopmnMpxft44e,0.928,0.71,8,-11.834,1,0.0603,0.00242,2.9e-06,0.08,0.771,106.03,240347,4,63.42102,10,1990s,happy
Mcdonald's Girl,InsideOut A Cappella,spotify:track:74q3J5qj7FCkNUYuIe70d9,0.744,0.479,0,-7.83,0,0.0375,0.713,0.0,0.164,0.514,125.095,184000,4,42.76356,7,1990s,happy
Hypnotize,The Notorious B.I.G.,spotify:track:7KwZNVEaqikRSBSpyhXK2j,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,229827,4,24.30897,10,1990s,happy
Pop Goes The Weasel,3rd Bass,spotify:track:74RgttZ78DSIF26veMyvs0,0.663,0.599,2,-13.299,1,0.378,0.0145,0.0,0.15,0.259,200.312,235627,4,31.78882,12,1990s,fear
Ready To Run,Dixie Chicks,spotify:track:7yNTZj1ugKCeRJdSP1meOk,0.644,0.644,7,-7.542,1,0.0305,0.245,0.00083,0.27,0.293,98.746,231293,4,50.25835,8,1990s,fear
Swing it and C,Michael Garrick,spotify:track:6GvXt8MelS1BUJ8ipAFoVg,0.474,0.0221,7,-26.984,1,0.0661,0.993,0.873,0.164,0.493,90.214,97160,3,38.04081,5,1990s,happy
Ven Sin Temor - How Do You Do,Bruno Lomas,spotify:track:1GaBkvgCLMbynbBakLq24J,0.66,0.46,2,-14.043,1,0.0474,0.647,9.32e-05,0.0881,0.695,100.115,233000,4,30.05035,10,1990s,happy
Buddy X,Neneh Cherry,spotify:track:23Lr7C7wMMeIOJK3ZVYMe5,0.83,0.586,5,-8.457,1,0.0375,0.0832,4.24e-05,0.0797,0.678,102.864,169000,4,44.17359,8,1990s,happy
Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls,spotify:track:34c09e1nnPqjQ48TKZvSnt,0.637,0.846,1,-3.663,1,0.0346,0.0437,0.0,0.105,0.634,103.119,208493,4,39.25391,9,1990s,angry
Rock Back Billy,John Hiatt,spotify:track:6Itpy9R9TlwIJR74hNhGLC,0.433,0.647,7,-13.503,1,0.0371,0.1,1.2e-05,0.091,0.867,170.028,232867,4,43.93309,11,1990s,happy
Lonnie's Lament,John Coltrane Quartet,spotify:track:3Pm2AxxuLOeb8Z3cBhpbAJ,0.492,0.234,0,-15.917,0,0.0362,0.893,0.146,0.13,0.183,108.145,707667,4,29.1707,27,1990s,sad
Triste,Antônio Carlos Jobim,spotify:track:1E4khW4R6UFw3xZrO8rZ1V,0.664,0.356,0,-16.021,1,0.12,0.626,0.00536,0.189,0.552,135.768,159160,4,32.277,10,1990s,happy
New Coats & New Hats,Matt Nathanson,spotify:track:3kwfPZ7pJYRWi9oT3D84o0,0.587,0.104,1,-20.17,1,0.0311,0.85,0.343,0.127,0.263,111.061,219373,4,36.31863,11,1990s,sad
Tonight,New Kids On The Block,spotify:track:2QqbBVwpyJn7SL7thga35w,0.469,0.386,2,-12.112,1,0.0272,0.103,1.2e-05,0.291,0.383,102.476,207467,4,48.28904,12,1990s,happy
I'll Never Get Out Of This World Alive - Single Version,Hank Williams,spotify:track:06QwUMh4FstbvC8Ipjj0y0,0.844,0.215,7,-10.914,1,0.0772,0.928,0.0,0.0704,0.793,116.284,148000,4,40.16031,6,1990s,happy
Love Never Dies - Part 1,Apoptygma Berzerk,spotify:track:6En2SlxJuWj8TpGE4izsD7,0.518,0.883,2,-7.026,1,0.0292,5.78e-05,0.8,0.144,0.185,127.985,327867,4,63.57764,11,1990s,angry
Aberdeen,Kenny Wayne Shepherd,spotify:track:6hnsgL0pFkkMR5GKYWXCA6,0.341,0.917,10,-9.897,1,0.0621,0.00223,0.138,0.438,0.358,124.497,255907,4,100.44764,6,1990s,happy
Success - Great Expectations Soundtrack,Iggy Pop,spotify:track:2GxiPMKjwq8jqlYNfWG1BV,0.371,0.928,2,-6.125,1,0.0707,0.109,0.0,0.0974,0.75,114.848,262618,4,19.14771,16,1990s,happy
Kissin' You,Total,spotify:track:1e5DTpM1WeggytDXbphivX,0.746,0.493,11,-9.427,0,0.0997,0.302,0.00957,0.109,0.878,82.04,282333,4,24.41386,10,1990s,happy
Drive,Incubus,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453,4,22.93655,10,1990s,surprise
Like Someone In Love,Tal Farlow,spotify:track:5lBzY3zxLTMyoauvs2i42o,0.621,0.204,8,-16.641,1,0.0555,0.959,0.935,0.116,0.591,95.181,402240,4,44.9321,17,1990s,happy
La Pequeña,Los Gibson Boys,spotify:track:4ALzyaEpy7C2RNTgLu2hzv,0.593,0.635,0,-7.417,1,0.0359,0.607,1.2e-06,0.084,0.934,94.253,133000,4,51.76199,5,1990s,happy
Don't Talk Just Kiss,Right Said Fred,spotify:track:3XQXG7HWyIQt6NVzePJjOQ,0.581,0.835,6,-12.596,0,0.0414,0.0416,0.227,0.21,0.755,124.006,241867,4,17.22421,10,1990s,happy
"Horn Concerto No. 3 in E-Flat Major, K. 447 (arr. C. Lindberg): I. Allegro",Christian Lindberg,spotify:track:5d6GIEli32DW4Oxb961eVs,0.422,0.0902,3,-20.29,1,0.0401,0.988,0.94,0.292,0.272,132.163,376467,4,26.94444,21,1990s,sad
Caboose,Snapcase,spotify:track:4XetuNNt2wx5lkZGS4L5r5,0.424,0.958,6,-4.167,1,0.0983,6.06e-05,1.03e-05,0.376,0.559,98.287,153587,4,72.66223,8,1990s,angry
Dansen,Rowwen Hèze,spotify:track:11MfBpCcqlczvqFZJUNgYD,0.55,0.868,11,-8.473,0,0.0444,0.0178,0.0,0.0602,0.961,163.309,206307,4,26.14673,10,1990s,fear
"Gotta Have You (From ""Jungle Fever"")",Stevie Wonder,spotify:track:6zYUYfZ5wzJUN8BhL0nA4k,0.766,0.49,10,-10.124,0,0.0531,0.0265,1.41e-05,0.0552,0.499,110.001,386307,4,27.33837,18,1990s,happy
Criminal,Fiona Apple,spotify:track:6PNvv1dmDbOWrAYwEcuKBX,0.595,0.804,7,-7.911,0,0.0326,0.0129,1.97e-05,0.299,0.586,89.846,341533,4,21.44611,14,1990s,surprise
Influência Do Jazz,Carlos Lyra,spotify:track:1oqPYQbOlS7p3fjszG1DdK,0.573,0.437,1,-13.854,1,0.0881,0.81,0.0,0.336,0.847,132.458,130040,4,26.58536,6,1990s,happy
